"Id","Name","Description","Tel","Add","Zipcode","Opentime","Map","Px","Py","Class","Website","Parkinginfo","Changetime"
"C3_382000000A_211400","渼潞工作坊","沈美露老師說：我的工作坊原本要使用我父親的名字「巴桑」來命名，一方面因為父親很早就過世了，另一方面是因為在學習編織的過程有幾度都想要放棄，但是冥冥中好像父親在默默地鼓勵我，叫我不要放棄，才讓我能堅持到今天。為了紀念父親，當時在新北市政府申請，聽到「巴桑」這個名字已經被登記時，心裡感到非常失望。後來是聽別人的建議說，用我的名字「美露」的讀音，又因為我的工作坊面對南勢溪，中國人常說：「遇水則發」，所以再加上「水」部，就找出「渼潞」的名字來用。","886-2-26616626","新北市233烏來區烏來街12號","233","來電詢問","","121.55151","24.8641","09","","","2021/10/20 16:25:18"
"C3_382000000A_403205","喬麥屋企業有限公司","由初代創辦人開創至今的第三代接班人，喬麥屋製麵已有近百年歷史。喬麥屋不單是台灣第一家提倡小包裝、有品牌、冷藏配送的生鮮冷藏麵條專業工廠亦是台灣製麵業機械化先驅。喬麥屋盡心竭力為品質把關:無添加防腐劑、特選安心食材，產品通過ISO22000:2005、HACCP驗證並投保產品責任險0525字第20AML0001014號。多項獨家工法:台灣首創短掛式麵條、三段式低溫乾燥、多加水製程，讓喬麥屋代工之產品榮獲-2020年農業百大精品以及2014年優良食品金牌獎等殊榮。","886-2-86853699","新北市238樹林區東順街80-2號","238","週一至週五 8:00-18:00公休日：週六、週日、國定假日","","121.40897","24.97698","09","","","2021/10/03 10:31:06"
"C3_382000000A_208066","我家廚房-美麗新店-紅麴豆乳(2012年特色伴手禮)","我家「紅麴豆乳」以天然養生的""紅麴、糙米""為主要原料，源自福建來台的祖母手藝百分百傳承，風味最道地獨特，經由第3代""歐妞""，不斷改良、創新，依然堅持採用最天然的""日晒法、純釀造，每粒豆乳六面也都要一一切去，以確保產品的衛生與安全，更不添加有害人體健康的添加物。經SGS食品檢驗，不僅未驗出""橘黴素""，且含鈉的成份也比市售同產品少了3/4，低鈉不鹹、不失古早味可入菜符合現代人追求自然、健康的好味道。包材:採鶯歌手拉陶藝杯(可當水杯.密封罐用)，結合新店毫芒雕刻家陳逢顯老師親繪新店風光擺渡水墨畫，呈現在地特色的美好產品、好人文、好風光、好味道傳遞著樸實的幸福滋味，故取美麗新店紅麴豆乳。(我家廚房)","886-2-22156700","新北市231新店區僑信路55號","231","11:30 - 14:00、17:30 - 20:00 / 週一公休、遇國定假日順延一天、每月倒數第二週連休四天(一二三四)","","121.4994","24.94947","09","","","2020/07/28 14:07:56"
"C3_382000000A_207535","登峰魚丸博物館","這座全國第一家以魚丸為主題的博物館，除了豐富的館藏，更有經過企劃的教學設計，成了學校和親子們見習在地產業的熱門去處。登峰食品早年以傳統魚丸店的銷售方式，在淡水媽祖廟旁現做現賣，因每日現打魚漿、真材實料現做，逐步打響了淡水魚丸的名氣，也讓魚丸成了淡水美食的代表，這項庶民美食也和高雄旗魚丸、台南虱目魚丸，南方澳鬼頭刀魚丸並列台灣四大魚丸美食。在博物館內參觀完全免費，而且還能發現早年漁民們捕魚及工廠魚丸製作過程的照片和器材，從魚產、加工到魚丸的塑形、煮熟、販售，走一趟博物館就像深入體驗一場華麗的魚丸加工秀。除了魚丸之外，民國52年登峰還將淡水的魚產加工變化成「淡水魚酥」，讓一般消費者做為下飯或加入魷魚羹等羹湯內做為湯料用。結果歷經時代的演進，魚酥因味道濃郁可口，反而成為淡水休閒零嘴名產，加入各種調味料變化多種口味後，搭配飲料、啤酒口感更佳。","886-2-26293312","新北市251淡水區中正路117號","251","週一至週日10:00-21:00","","121.4397","25.16996","09","","","2022/05/27 17:57:11"
"C3_382000000A_206662","壽司屋","可別看這間壽司屋外表毫不起眼，隱身在人來人往的老街上，裡頭可是藏著五星級美味的握壽司，除一般定食、單點，還提供無菜單料理，老饕級吃客懂得趁早搶占壽司吧檯前的位子，享受師傅現捏的新鮮握壽司。","886-2-26292873","新北市251淡水區公明街87號","251","13:30-14:00 17:00-21:00 (關店前半小時不接客，週一公休)","","121.44411","25.16835","09","","","2019/10/27 17:43:54"
"C3_382000000A_208055","玟璋手工烘培麵包店-派夢地法式草莓起司派6吋(2012年特色伴手禮)","本產品採用進口頂級cream cheese 及台灣當地草莓。重乳酪與杏仁角，「酥脆X鬆軟綿密」的雙重口感，加上頂級奶油作成的酥脆派皮，不油不膩、沒有太重的奶味，搭配新鮮草莓的微酸口感，幸福的滋味回味無窮，讓人忍不住一口接一口。玟璋手工烘焙麵包店 (派夢地)","886-2-29295058","新北市234永和區永和路二段99號","234","10:30 - 22:00 / 全年照常營業 (過年期間例外 除夕休到初四)","","121.51482","25.01158","09","","","2020/07/28 14:23:01"
"C3_382000000A_209941","二格公園(農產品展售中心)","二格公園座落於石碇東南方格頭里內西側，從新店北宜公路起算約23公里處，正為於該路之路旁，車輛來往極頻繁，為重要觀光景點之一。因地處山明水秀之格頭里，公園旁依傍著風景秀麗的翡翠水庫與鳥語花香的烏來區相望，並依附著二格山系與臺北市文山區木柵貓空茶園相鄰，景緻怡人，詩情畫意，遊客絡繹不絕，流連忘返。而為了將石碇區生產的高品質農產品介紹給遊客認識，而把原本規劃成觀光休閒自行車道的二格公園，打造成一座農產品展售中心。共有十多個攤位，以及兩個遊客服務中心，在展售中心的二樓是開放式空間，可供欣賞美景，讓遊客休息及品嚐當地美食，不論地點或設施，都是遊客很好的停註點","886-2-26631080","新北市223石碇區二格公園","223","依照各個攤販時間","","121.62397","24.95649","09","","","2020/07/28 12:56:01"
"C3_382000000A_206761","蘇義興餐廳","現任老闆以前為民歌歌手，餐廳會在週六、日不定時提供民歌演唱的服務，招牌菜色有龍蝦炒菜脯、酥炸三層肉、羊肉火鍋、粉皮蝦捲、鮮肉芋頭酥...等。季節性菜色:過貓沙拉、山藥排骨","886-2-24931027,886932009708","新北市227雙溪區中華路77號","227","11:00~14:00 17:00~19:30(不定期公休，來電請先電洽)","","121.86573","25.03837","09","","雙溪火車站出站後直走到底左轉中華路步行約5分鐘可達。（蘇義興餐廳在行進方向之右方）","2021/09/27 14:56:04"
"C3_382000000A_208064","文山包種茶-富貴茶香禮盒(2012年特色伴手禮)","文山茶區地處群山環繞，得天獨厚之經緯度，四季分明，氣候終年溼潤涼爽，雨量充沛，土地肥沃，適合茶樹生長，現有茶園面積達1390餘公頃，種植青心烏龍等優良品種，所製之包種茶品質極佳，年產量約100餘萬公斤，被譽為茶中珍品。 名貴的文山包種茶是採摘軟嫩茶菁焙製而成，外觀緊結為條索狀，葉尖捲曲自然，幼枝連理，色澤墨綠鮮麗，茶湯蜜綠呈金黃，明亮悅目，入口醇郁濃厚，芳香樸鼻，落喉甘潤圓滑帶活性，回味無窮，是著重香氣的茶葉，香氣愈高品質愈佳。(新北市農會-文山茶推廣中心)","886-2-29127176","新北市231新店區北新路3段148號","231","平日 08:00 - 21:00 / 假日09:00 - 19:00 (無公休)","","121.54166","24.98237","09","","","2020/07/28 14:04:25"
"C3_382000000A_206400","游記米粉湯","傳統臺灣道地小吃-米粉湯","886-9-33772632","新北市241三重區同安街45號","241","06:30~14:00(週日公休)(休到11月中旬)","","121.49549","25.05684","09","","","2021/12/29 18:51:28"
